,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,company,mileage,seats
5235,indigo,2013,310000,70000,Diesel,Individual,Manual,First Owner,tata,25.0,5
5236,duster,2017,650000,120000,Diesel,Individual,Manual,First Owner,renault,19.87,5
5237,jazz,2015,600000,80000,Petrol,Individual,Automatic,First Owner,honda,19.0,5
5238,new safari,2009,150000,150000,Diesel,Individual,Manual,Fourth & Above Owner,tata,11.57,7
5239,logan,2009,135000,120000,Petrol,Individual,Manual,First Owner,mahindra,15.7,5
5240,swift dzire,2014,650000,50000,Diesel,Individual,Manual,First Owner,maruti,23.4,5
5241,city,2012,550000,83000,Petrol,Individual,Manual,First Owner,honda,16.8,5
5242,swift dzire,2017,650000,20000,Diesel,Individual,Manual,First Owner,maruti,28.4,5
5243,fortuner,2018,2900000,49000,Diesel,Individual,Automatic,First Owner,toyota,12.9,7
5244,brio,2017,450000,6750,Petrol,Individual,Manual,First Owner,honda,18.5,5
5245,ciaz,2015,650000,26000,Petrol,Individual,Manual,First Owner,maruti,20.73,5
5246,grand i10,2017,430000,52000,Petrol,Individual,Manual,First Owner,hyundai,17.0,5
5247,creta,2017,1143000,51000,Diesel,Individual,Automatic,First Owner,hyundai,17.01,5
5248,swift,2019,700000,20000,Petrol,Individual,Automatic,First Owner,maruti,22.0,5
5249,ritz,2011,229999,18500,Petrol,Individual,Manual,First Owner,maruti,18.5,5
5250,tuv300,2017,509999,142000,Diesel,Individual,Manual,First Owner,mahindra,18.49,7
5251,ecosport,2016,670000,50478,Petrol,Individual,Manual,First Owner,ford,15.85,5
5252,tiago,2019,525000,9200,Petrol,Individual,Automatic,First Owner,tata,23.84,5
5253,duster,2016,515000,40000,Diesel,Individual,Manual,First Owner,renault,19.87,5
5254,baleno,2020,630000,5000,Petrol,Individual,Manual,First Owner,maruti,21.01,5
5255,redi-go,2019,270000,2300,Petrol,Individual,Manual,First Owner,datsun,22.7,5
5256,alto 800,2016,300000,40000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
5257,xylo,2012,250000,119000,Diesel,Individual,Manual,First Owner,mahindra,14.0,8
5258,alto,2005,90000,100000,Petrol,Individual,Manual,Fourth & Above Owner,maruti,19.7,5
5259,ertiga,2017,750000,100000,Diesel,Individual,Manual,First Owner,maruti,24.52,7
5260,wagon r,2009,135000,50000,Petrol,Individual,Manual,Second Owner,maruti,18.9,5
5261,eeco,2013,275000,80000,Petrol,Individual,Manual,Second Owner,maruti,15.1,5
5262,nexon,2018,740000,15000,Petrol,Individual,Manual,First Owner,tata,17.0,5
5268,others,2018,1000000,4295,Petrol,Trustmark Dealer,Manual,First Owner,toyota,17.1,5
5269,others,2018,1000000,5229,Petrol,Trustmark Dealer,Manual,First Owner,toyota,17.1,5
5270,grand i10,2019,550000,4701,Petrol,Trustmark Dealer,Manual,First Owner,hyundai,20.7,5
5271,baleno,2016,600000,6757,Petrol,Trustmark Dealer,Manual,First Owner,maruti,21.01,5
5272,rapid,2016,675000,28182,Petrol,Trustmark Dealer,Automatic,First Owner,skoda,14.3,5
5273,others,2019,950000,11533,Petrol,Trustmark Dealer,Manual,First Owner,nissan,14.23,5
5274,city,2017,850000,11688,Petrol,Trustmark Dealer,Manual,First Owner,honda,17.8,5
5276,corolla altis,2012,550000,57728,Petrol,Trustmark Dealer,Automatic,First Owner,toyota,14.53,5
5277,ciaz,2018,925000,23712,Diesel,Trustmark Dealer,Manual,First Owner,maruti,28.09,5
5278,ecosport,2015,625000,70670,Petrol,Trustmark Dealer,Automatic,First Owner,ford,16.5,5
5279,alto 800,2014,200000,43381,Petrol,Dealer,Manual,Second Owner,maruti,22.74,5
5280,city,2014,635000,79011,Petrol,Trustmark Dealer,Automatic,First Owner,honda,18.0,5
5282,sx4,2014,425000,50000,Diesel,Individual,Manual,Second Owner,maruti,21.79,5
5283,wagon r,2011,220000,40000,Petrol,Individual,Manual,First Owner,maruti,18.9,5
5284,grand i10,2018,590000,10000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
5285,thar,2017,775000,35000,Diesel,Individual,Manual,First Owner,mahindra,16.55,6
5286,ritz,2015,350000,58500,Petrol,Individual,Manual,First Owner,maruti,18.5,5
5287,baleno,2018,575000,20000,Petrol,Individual,Manual,First Owner,maruti,21.4,5
5288,micra,2011,200000,43500,Petrol,Individual,Manual,Second Owner,nissan,18.06,5
5289,hexa,2018,1575000,30000,Diesel,Individual,Manual,First Owner,tata,17.6,7
5290,ecosport,2015,600000,63000,Diesel,Individual,Manual,First Owner,ford,22.77,5
5291,bolero,2016,720000,35000,Diesel,Individual,Manual,First Owner,mahindra,15.96,7
5292,indigo,2012,158000,110000,Diesel,Individual,Manual,Second Owner,tata,19.09,5
5293,hexa,2018,1575000,25000,Diesel,Individual,Manual,First Owner,tata,17.6,7
5294,xcent,2017,580000,30000,Petrol,Individual,Automatic,First Owner,hyundai,17.36,5
5295,bolero,2012,420000,50000,Diesel,Individual,Manual,First Owner,mahindra,15.96,7
5296,marazzo,2018,1200000,35000,Diesel,Individual,Manual,First Owner,mahindra,17.3,8
5297,kwid,2018,350000,30000,Petrol,Individual,Manual,First Owner,renault,23.01,5
5298,city,2014,650000,56000,Petrol,Individual,Manual,First Owner,honda,17.4,5
5299,wagon r,2017,400000,12700,Petrol,Individual,Manual,First Owner,maruti,20.51,5
5300,nexon,2018,700000,35000,Diesel,Individual,Manual,First Owner,tata,21.5,5
5301,xcent,2017,520000,30000,Petrol,Individual,Manual,First Owner,hyundai,19.1,5
5302,scorpio,2012,450000,120000,Diesel,Individual,Manual,First Owner,mahindra,12.05,9
5303,safari storme,2017,850000,100000,Diesel,Individual,Manual,First Owner,tata,14.1,7
5304,kwid,2017,350000,34000,Petrol,Individual,Manual,First Owner,renault,25.17,5
5305,xylo,2011,450000,56000,Diesel,Individual,Manual,First Owner,mahindra,13.0,8
5306,i10,2008,165000,90000,Petrol,Individual,Manual,First Owner,hyundai,19.81,5
5307,santro,2010,160000,65000,Petrol,Individual,Manual,Second Owner,hyundai,17.92,5
5308,new safari,2011,300000,80000,Diesel,Individual,Manual,First Owner,tata,13.93,7
5309,scorpio,2012,550000,90000,Diesel,Individual,Manual,Third Owner,mahindra,12.05,8
5310,alto k10,2015,285000,40000,Petrol,Individual,Manual,First Owner,maruti,23.95,5
5313,ertiga,2018,900000,25000,Petrol,Individual,Manual,First Owner,maruti,19.34,7
5314,alto,2005,180000,49455,Petrol,Individual,Manual,First Owner,maruti,19.7,5
5315,eon,2016,220000,100000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
5316,indica,2013,120000,120000,Diesel,Individual,Manual,First Owner,tata,22.3,5
5317,i20,2010,220000,90000,Petrol,Individual,Manual,Fourth & Above Owner,hyundai,17.0,5
5318,sail,2013,420000,46815,Diesel,Individual,Manual,Second Owner,chevrolet,22.1,5
5319,indica,2013,160000,110000,Diesel,Individual,Manual,First Owner,tata,19.4,5
5320,eon,2015,250000,80000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
5321,ertiga,2013,385000,100000,Diesel,Individual,Manual,Third Owner,maruti,20.77,7
5322,wagon r,2014,318000,80000,Petrol,Individual,Manual,First Owner,maruti,20.51,5
5323,xcent,2018,480000,40000,Petrol,Individual,Manual,First Owner,hyundai,20.14,5
5324,celerio,2015,330000,70000,Petrol,Individual,Manual,Third Owner,maruti,23.1,5
5325,indica,2011,152000,80000,Diesel,Individual,Manual,First Owner,tata,17.0,5
5326,alto 800,2014,250000,40000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
5327,indica,2011,248000,80000,Diesel,Individual,Manual,First Owner,tata,17.0,5
5328,micra,2011,300000,60000,Petrol,Individual,Manual,Second Owner,nissan,18.06,5
5329,i20,2017,550000,50000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
5330,i20,2016,650000,30000,Diesel,Individual,Manual,First Owner,hyundai,22.54,5
5331,grand i10,2017,445000,25000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
5332,innova,2010,450000,334000,Diesel,Individual,Manual,First Owner,toyota,12.8,7
5333,others,2016,600000,100000,Diesel,Individual,Manual,First Owner,mahindra,17.45,7
5334,duster,2014,495000,175000,Diesel,Individual,Manual,First Owner,renault,19.01,5
5335,sx4,2011,220000,65000,Petrol,Individual,Automatic,Third Owner,maruti,12.6,5
5336,sx4,2011,260000,65000,Petrol,Individual,Automatic,Third Owner,maruti,12.6,5
5337,santro,2009,150000,90000,Petrol,Individual,Manual,First Owner,hyundai,17.92,5
5338,figo,2011,200000,80000,Diesel,Individual,Manual,Second Owner,ford,20.0,5
5339,scorpio s11,2018,1465000,110000,Diesel,Individual,Manual,First Owner,mahindra,16.36,7
5340,etios livo,2012,285000,80000,Diesel,Individual,Manual,Second Owner,toyota,23.59,5
5341,civic,2008,250000,60000,Petrol,Individual,Automatic,Third Owner,honda,20.0,5
5342,xylo,2014,310000,160000,Diesel,Individual,Manual,First Owner,mahindra,14.95,7
5343,scorpio,2010,600000,100875,Diesel,Individual,Automatic,First Owner,mahindra,11.79,8
5344,baleno,2018,560000,20000,Petrol,Individual,Manual,First Owner,maruti,21.4,5
5345,swift dzire,2016,500000,30000,Petrol,Individual,Manual,First Owner,maruti,20.85,5
5346,grand i10,2013,270000,118000,Diesel,Individual,Manual,First Owner,hyundai,24.0,5
5347,verna,2013,420000,69000,Diesel,Individual,Manual,Third Owner,hyundai,22.32,5
5348,swift dzire,2015,434999,25000,Petrol,Individual,Manual,Second Owner,maruti,20.85,5
5349,xcent,2015,400000,100000,Petrol,Individual,Automatic,First Owner,hyundai,16.9,5
5350,swift dzire,2015,470000,110000,Diesel,Individual,Manual,First Owner,maruti,26.59,5
5351,terrano,2015,480000,60000,Diesel,Individual,Manual,Third Owner,nissan,20.45,5
5352,santro,2008,105000,128000,Petrol,Individual,Manual,First Owner,hyundai,0.0,5
5353,tiago,2017,325000,120000,Diesel,Individual,Manual,First Owner,tata,27.28,5
5354,etios livo,2012,280000,80000,Diesel,Individual,Manual,Second Owner,toyota,23.59,5
5355,grand i10,2020,675000,5000,Petrol,Individual,Automatic,First Owner,hyundai,20.7,5
5356,i10,2009,170000,90000,Petrol,Individual,Manual,Second Owner,hyundai,20.36,5
5357,creta,2017,1250000,90000,Diesel,Individual,Manual,First Owner,hyundai,19.67,5
5358,accord,2012,600000,144030,Petrol,Individual,Manual,First Owner,honda,12.8,5
5359,city,2014,819999,200000,Diesel,Individual,Manual,First Owner,honda,25.1,5
5360,i20,2016,650000,29000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
5361,wagon r,2007,105000,90000,LPG,Individual,Manual,Second Owner,maruti,24.22,5
5362,logan,2009,200000,176000,Diesel,Individual,Manual,Second Owner,mahindra,17.0,5
5363,indigo,2013,200000,150000,Diesel,Individual,Manual,First Owner,tata,19.09,5
5364,omni,2016,220000,90000,Petrol,Individual,Manual,First Owner,maruti,16.8,8
5365,vento,2014,500000,70000,Petrol,Individual,Manual,Second Owner,volkswagen,15.04,5
5366,logan,2007,175000,99000,Diesel,Individual,Manual,Second Owner,mahindra,19.2,5
5367,tiago,2018,450000,5000,Petrol,Individual,Manual,First Owner,tata,23.84,5
5368,optra,2008,210000,90000,Diesel,Individual,Manual,Fourth & Above Owner,chevrolet,16.52,5
5369,ritz,2011,270000,89000,Diesel,Individual,Manual,Second Owner,maruti,21.1,5
5370,indica,2006,110000,88000,Diesel,Individual,Manual,Second Owner,tata,16.8,5
5371,swift dzire,2015,480000,30000,Diesel,Individual,Manual,First Owner,maruti,26.59,5
5372,swift dzire,2016,650000,50000,Diesel,Individual,Automatic,Second Owner,maruti,26.59,5
5373,swift dzire,2013,480000,80000,Diesel,Individual,Manual,First Owner,maruti,23.4,5
5374,i20,2016,700000,40000,Diesel,Individual,Manual,First Owner,hyundai,22.54,5
5375,ertiga,2015,650000,110000,Diesel,Individual,Manual,Third Owner,maruti,20.77,7
5376,creta,2015,1300000,48000,Diesel,Individual,Manual,Second Owner,hyundai,19.67,5
5377,jetta,2016,1350000,97000,Diesel,Individual,Automatic,First Owner,volkswagen,16.96,5
5378,vento,2016,1000000,60000,Diesel,Individual,Automatic,First Owner,volkswagen,22.15,5
5379,others,2011,1700000,110000,Diesel,Individual,Automatic,Third Owner,mercedes-benz,0.0,5
5380,others,2018,1080000,12800,Petrol,Individual,Automatic,First Owner,toyota,17.8,5
5381,eon,2012,170000,40000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
5382,swift,2017,610000,49000,Diesel,Individual,Manual,First Owner,maruti,28.4,5
5383,ritz,2014,350000,25000,Petrol,Individual,Manual,First Owner,maruti,18.5,5
5384,alto 800,2016,260000,65000,Petrol,Individual,Manual,Second Owner,maruti,22.74,5
5385,linea,2015,700000,20000,Diesel,Individual,Manual,First Owner,fiat,20.4,5
5386,polo,2018,678000,17000,Petrol,Individual,Manual,First Owner,volkswagen,18.78,5
5387,x4,2015,800000,15000,Diesel,Individual,Manual,First Owner,maruti,23.65,5
5388,etios,2014,400000,120000,Diesel,Individual,Manual,Second Owner,toyota,23.59,5
5389,i20,2010,300000,49000,Petrol,Individual,Manual,First Owner,hyundai,18.5,5
5390,i20,2016,520000,29000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
5391,terrano,2017,850000,55000,Diesel,Individual,Automatic,First Owner,nissan,19.61,5
5392,marazzo,2019,1460000,5000,Diesel,Individual,Manual,First Owner,mahindra,17.3,7
5393,nexon,2017,830000,35000,Diesel,Individual,Manual,First Owner,tata,21.5,5
5394,go,2018,430000,5000,Petrol,Individual,Manual,Second Owner,datsun,20.63,5
5395,ecosport,2017,850000,60000,Diesel,Individual,Manual,First Owner,ford,22.77,5
5396,swift dzire,2017,650000,70000,Petrol,Individual,Manual,First Owner,maruti,20.85,5
5397,verna,2008,120000,120000,Diesel,Individual,Manual,Second Owner,hyundai,16.8,5
5398,tuv300,2016,730000,65100,Diesel,Individual,Manual,Second Owner,mahindra,18.49,7
5399,ignis,2019,525000,20000,Petrol,Individual,Automatic,First Owner,maruti,20.89,5
5400,i20,2015,600000,108000,Diesel,Individual,Manual,First Owner,hyundai,21.19,5
5401,swift,2019,500000,15000,Petrol,Individual,Manual,First Owner,maruti,21.21,5
5402,santro,2009,150000,77000,Petrol,Individual,Manual,First Owner,hyundai,17.92,5
5403,wagon r,2015,409999,18500,Petrol,Individual,Manual,First Owner,maruti,20.51,5
5404,tuv300,2016,625000,120000,Diesel,Individual,Manual,First Owner,mahindra,18.49,7
5405,kwid,2015,290000,15200,Petrol,Individual,Manual,First Owner,renault,25.17,5
5406,mobilio,2015,500000,35000,Petrol,Individual,Manual,First Owner,honda,17.3,7
5407,verna,2011,475000,80000,Diesel,Individual,Manual,First Owner,hyundai,22.32,5
5408,eon,2013,190000,70000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
5409,xuv500,2014,750000,80000,Diesel,Individual,Manual,Second Owner,mahindra,15.1,7
5410,terrano,2014,525000,120000,Diesel,Individual,Manual,Second Owner,nissan,19.01,5
5411,cruze,2012,495000,82000,Diesel,Individual,Manual,Third Owner,chevrolet,17.3,5
5431,city,2010,321000,60000,Petrol,Individual,Automatic,Second Owner,honda,16.8,5
5432,etios livo,2017,585000,50000,Petrol,Individual,Manual,First Owner,toyota,17.71,5
5433,figo,2011,225000,70000,Diesel,Individual,Manual,First Owner,ford,20.0,5
5434,amaze,2017,500000,70000,Diesel,Individual,Manual,First Owner,honda,25.8,5
5435,i20,2011,350000,90000,Diesel,Individual,Manual,Third Owner,hyundai,23.0,5
5436,ertiga,2016,756000,70000,Diesel,Individual,Manual,Second Owner,maruti,24.52,7
5437,alto 800,2014,240000,50000,Petrol,Individual,Manual,First Owner,maruti,22.74,5
5438,omni,2012,80000,120000,Petrol,Individual,Manual,Second Owner,maruti,19.7,8
5439,i20,2019,800000,5000,Petrol,Individual,Manual,First Owner,hyundai,17.19,5
5440,hexa,2018,1250000,25000,Diesel,Individual,Manual,First Owner,tata,17.6,7
5441,scorpio,2009,320000,80000,Diesel,Individual,Manual,Third Owner,mahindra,12.05,7
5442,grand i10,2017,509999,25000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
5443,zest,2019,650000,15000,Diesel,Individual,Manual,First Owner,tata,22.95,5
5444,alto k10,2011,210000,35000,Petrol,Individual,Manual,Second Owner,maruti,20.92,5
5445,alto,2008,110000,80000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
5446,nexon,2017,665000,25000,Diesel,Individual,Manual,First Owner,tata,21.5,5
5447,ameo,2017,555000,52000,Diesel,Individual,Manual,First Owner,volkswagen,21.66,5
5448,ameo,2017,560000,52000,Diesel,Individual,Manual,First Owner,volkswagen,21.66,5
5449,kuv300,2016,375000,80000,Diesel,Individual,Manual,First Owner,mahindra,25.32,6
5450,swift,2011,290000,77000,Diesel,Individual,Manual,Second Owner,maruti,22.9,5
5451,fortuner,2017,2950000,50000,Diesel,Individual,Automatic,First Owner,toyota,15.04,7
5452,swift dzire,2017,605000,127000,Diesel,Individual,Manual,First Owner,maruti,28.4,5
5453,wr-v,2017,720000,30000,Petrol,Individual,Manual,First Owner,honda,17.5,5
5454,ertiga,2017,800000,70000,Diesel,Individual,Manual,First Owner,maruti,24.52,7
5455,xuv500,2017,1325000,54000,Diesel,Individual,Manual,First Owner,mahindra,16.0,7
5456,others,2011,625000,120000,Diesel,Individual,Manual,Second Owner,others,10.5,6
5457,i20,2011,350000,116500,Diesel,Individual,Manual,First Owner,hyundai,23.0,5
5458,innova,2012,600000,145000,Diesel,Individual,Manual,Second Owner,toyota,12.99,8
5459,i20,2012,300000,120000,Petrol,Individual,Manual,First Owner,hyundai,18.5,5
5460,new safari,2011,240000,120000,Diesel,Individual,Manual,First Owner,tata,13.93,7
5461,figo,2016,377000,80000,Diesel,Individual,Manual,First Owner,ford,25.83,5
5462,ertiga,2013,450000,140000,Petrol,Individual,Manual,First Owner,maruti,16.02,7
5463,verna,2008,160000,100000,Petrol,Individual,Manual,Fourth & Above Owner,hyundai,13.9,5
5464,xcent,2019,525000,100000,Petrol,Individual,Manual,First Owner,hyundai,20.14,5
5465,innova,2011,550000,168000,Diesel,Individual,Manual,Second Owner,toyota,12.8,8
5466,cruze,2010,270000,120000,Diesel,Individual,Manual,Third Owner,chevrolet,18.3,5
5467,etios,2016,570000,145000,Diesel,Individual,Manual,Second Owner,toyota,23.59,5
5468,figo,2011,225000,90000,Diesel,Individual,Manual,Second Owner,ford,20.0,5
5469,xcent,2019,590000,90000,Petrol,Individual,Manual,First Owner,hyundai,20.14,5
5470,compass,2018,1675000,80000,Diesel,Individual,Manual,First Owner,jeep,17.1,5
5471,aspire,2019,800000,33000,Petrol,Dealer,Manual,First Owner,ford,19.4,5
5472,sail,2014,450000,13500,Petrol,Individual,Manual,First Owner,chevrolet,18.2,5
5473,indigo,2012,300000,80000,Diesel,Individual,Manual,First Owner,tata,17.0,5
5474,i20,2017,645000,20000,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
5475,swift dzire,2013,520000,58000,Diesel,Individual,Manual,First Owner,maruti,23.4,5
5476,eon,2013,200000,40000,Petrol,Individual,Manual,First Owner,hyundai,21.1,5
5477,city,2015,700000,30000,Petrol,Individual,Manual,First Owner,honda,17.4,5
5479,figo aspire,2016,459999,73000,Diesel,Individual,Manual,First Owner,ford,25.83,5
5480,ritz,2014,325000,90000,Diesel,Individual,Manual,Second Owner,maruti,23.2,5
5481,wagon r,2015,350000,50000,Petrol,Individual,Manual,Second Owner,maruti,20.51,5
5482,verna,2011,440000,80000,Diesel,Individual,Manual,Third Owner,hyundai,22.32,5
5483,i20,2011,320000,70000,Diesel,Individual,Manual,Second Owner,hyundai,21.9,5
5484,spark,2011,169000,41000,Petrol,Individual,Manual,First Owner,chevrolet,18.0,5
5485,polo,2013,350000,50000,Petrol,Individual,Manual,Fourth & Above Owner,volkswagen,16.47,5
5486,classic,2014,350000,113226,Diesel,Dealer,Manual,First Owner,ford,19.68,5
5487,figo,2013,310000,90000,Diesel,Individual,Manual,Second Owner,ford,20.0,5
5488,swift,2007,150000,70000,Petrol,Individual,Manual,Third Owner,maruti,22.0,5
5489,scorpio,2010,420000,160500,Diesel,Individual,Manual,Fourth & Above Owner,mahindra,13.5,5
5490,ciaz,2015,685000,30000,Petrol,Individual,Automatic,First Owner,maruti,19.12,5
5491,duster,2014,560000,132000,Diesel,Individual,Manual,Second Owner,renault,19.72,5
5492,swift,2013,470000,120000,Diesel,Individual,Manual,Third Owner,maruti,22.9,5
5493,verna,2011,380000,80000,Petrol,Individual,Manual,Second Owner,hyundai,16.2,5
5494,scorpio,2015,670000,57000,Diesel,Individual,Manual,Second Owner,mahindra,15.4,7
5495,swift dzire,2018,550000,5000,Petrol,Individual,Manual,First Owner,maruti,22.0,5
5496,verna,2016,749000,25000,Petrol,Individual,Manual,First Owner,hyundai,17.01,5
5497,creta,2015,899000,80000,Diesel,Individual,Manual,Second Owner,hyundai,19.67,5
5498,optra,2011,290000,88000,Diesel,Individual,Manual,Third Owner,chevrolet,16.52,5
5499,innova,2014,869999,217000,Diesel,Individual,Manual,Second Owner,toyota,12.99,7
5500,go plus,2015,350000,60000,Petrol,Individual,Manual,First Owner,datsun,20.62,7
5501,swift dzire,2017,500000,43000,Petrol,Individual,Manual,First Owner,maruti,20.85,5
5502,rapid,2014,400000,77000,Diesel,Individual,Automatic,Second Owner,skoda,21.66,5
5503,kwid,2016,260000,30000,Petrol,Individual,Manual,First Owner,renault,25.17,5
5504,alto 800,2015,220000,40000,Petrol,Individual,Manual,Second Owner,maruti,22.74,5
5505,enjoy,2014,190000,139000,Diesel,Individual,Manual,Second Owner,chevrolet,18.2,8
5506,grand i10,2016,400000,80000,Petrol,Individual,Manual,First Owner,hyundai,18.9,5
5507,beat,2014,170000,76000,Diesel,Individual,Manual,Second Owner,chevrolet,25.44,5
5508,i20,2019,650000,3500,Petrol,Individual,Manual,First Owner,hyundai,18.6,5
5509,800 ac,2007,60000,62000,Petrol,Individual,Manual,Second Owner,maruti,16.1,4
5510,new safari,2007,300000,110000,Petrol,Individual,Manual,Second Owner,tata,12.0,7
5511,spark,2012,125000,40000,Petrol,Individual,Manual,Second Owner,chevrolet,16.2,5
5512,indica,2013,130000,120000,Diesel,Individual,Manual,Second Owner,tata,19.4,5
5513,xuv500,2012,500000,1500000,Diesel,Individual,Manual,First Owner,mahindra,15.1,7
5514,alto,2011,170000,70000,Petrol,Individual,Manual,Third Owner,maruti,19.7,5
5515,swift dzire,2012,310000,77000,Diesel,Individual,Manual,Second Owner,maruti,19.3,5
5516,spark,2011,130000,110000,Petrol,Individual,Manual,Second Owner,chevrolet,18.0,5
5517,wagon r,2016,465000,20000,Petrol,Individual,Manual,First Owner,maruti,20.51,5
5519,others,2005,800000,120005,Diesel,Individual,Automatic,Second Owner,mercedes-benz,11.0,5
5520,alto k10,2012,260000,16830,Petrol,Individual,Manual,First Owner,maruti,20.2,5
5521,bolero,2013,500000,70000,Diesel,Individual,Manual,First Owner,mahindra,15.96,9
5522,kwid,2017,325000,38000,Petrol,Individual,Manual,First Owner,renault,23.01,5
5523,bolero,2013,400000,80000,Diesel,Individual,Manual,First Owner,mahindra,15.96,9
5524,fortuner,2018,3200000,50000,Diesel,Individual,Manual,First Owner,toyota,14.24,7
5525,indica,2007,200000,50000,Diesel,Individual,Manual,First Owner,tata,17.88,5
5526,quanto,2013,450000,52000,Diesel,Individual,Manual,First Owner,mahindra,17.21,7
5527,indigo,2012,229999,50000,Diesel,Individual,Manual,First Owner,tata,17.0,5
5529,bolero,2014,550000,103000,Diesel,Individual,Manual,First Owner,mahindra,15.96,7
5530,endeavour,2011,975000,93468,Diesel,Individual,Automatic,Second Owner,ford,11.4,7
5532,jetta,2010,225000,80000,Petrol,Individual,Manual,Second Owner,volkswagen,14.0,5
5534,indigo,2013,280000,70000,Diesel,Individual,Manual,First Owner,tata,25.0,5
5536,indigo,2012,259000,35000,Diesel,Individual,Manual,First Owner,tata,23.03,5
5537,fortuner,2018,3200000,60000,Diesel,Individual,Automatic,First Owner,toyota,15.04,7
5538,xuv500,2018,1400000,30000,Diesel,Individual,Manual,First Owner,mahindra,16.0,7
5539,figo,2015,416000,40000,Petrol,Individual,Automatic,First Owner,ford,17.01,5
5540,manza,2011,250000,70000,Diesel,Individual,Manual,First Owner,tata,19.0,5
5541,manza,2010,210000,120000,Diesel,Individual,Manual,First Owner,tata,21.12,5
5542,scorpio,2008,290000,120000,Diesel,Individual,Manual,Second Owner,mahindra,12.05,8
5543,indigo,2012,220000,90000,Diesel,Individual,Manual,First Owner,tata,23.03,5
5544,indigo,2012,246000,35000,Diesel,Individual,Manual,Second Owner,tata,23.03,5
5545,omni,2018,260000,30000,Petrol,Individual,Manual,First Owner,maruti,16.8,8
5546,creta,2018,1050000,70000,Diesel,Individual,Manual,First Owner,hyundai,21.38,5
5550,swift,2016,550000,20000,Petrol,Individual,Manual,First Owner,maruti,20.4,5
5551,indigo,2017,450000,70000,Diesel,Individual,Manual,First Owner,tata,19.09,5
5552,city,2016,773000,65000,Petrol,Individual,Manual,First Owner,honda,17.8,5
5553,tiago,2017,450000,25000,Petrol,Individual,Manual,First Owner,tata,23.84,5
5554,eeco,2019,409999,10000,Petrol,Individual,Manual,First Owner,maruti,15.37,5
5556,others,2014,600000,80000,Petrol,Individual,Automatic,Second Owner,nissan,11.07,5
5557,beat,2010,250000,63000,Petrol,Individual,Manual,First Owner,chevrolet,18.6,5
5558,indica,2008,70000,100000,Diesel,Individual,Manual,First Owner,tata,16.8,5
5569,wagon r,2018,430000,16589,Petrol,Trustmark Dealer,Manual,First Owner,maruti,20.51,5
5571,city,2016,675000,53201,Petrol,Trustmark Dealer,Manual,Second Owner,honda,17.8,5
5572,baleno,2017,570000,25272,Petrol,Trustmark Dealer,Manual,First Owner,maruti,21.01,5
5573,vitara brezza,2017,850000,53619,Diesel,Trustmark Dealer,Manual,First Owner,maruti,24.3,5
5577,ecosport,2018,640000,6001,Petrol,Dealer,Manual,First Owner,ford,15.9,5
5578,indigo,2013,250000,80000,Diesel,Individual,Manual,First Owner,tata,19.09,5
5579,duster,2018,1250000,12000,Diesel,Individual,Manual,First Owner,renault,19.6,5
5580,ecosport,2017,889000,25000,Petrol,Individual,Manual,First Owner,ford,17.0,5
5581,i20,2017,750000,40000,Diesel,Individual,Manual,Second Owner,hyundai,22.54,5
5582,swift,2010,320000,130000,Diesel,Individual,Manual,Third Owner,maruti,17.8,5
5583,others,2011,600000,202000,Diesel,Individual,Manual,First Owner,skoda,17.67,5
5584,ciaz,2018,1000000,40000,Diesel,Individual,Manual,First Owner,maruti,28.09,5
5586,city,2008,250000,120000,Petrol,Individual,Manual,Second Owner,honda,17.7,5
5587,swift dzire,2015,600000,60000,Diesel,Individual,Manual,First Owner,maruti,26.59,5
5588,zen,2009,165000,60000,Petrol,Individual,Manual,First Owner,maruti,19.0,5
5590,baleno,2016,700000,78000,Diesel,Individual,Manual,First Owner,maruti,27.39,5
5591,duster,2013,585000,80000,Diesel,Individual,Manual,Second Owner,renault,20.46,5
5592,alto,2006,120000,120000,Petrol,Individual,Manual,Fourth & Above Owner,maruti,19.7,5
5594,alto,2006,150000,100000,Petrol,Individual,Manual,Second Owner,maruti,19.7,5
5595,alto,2009,150000,70000,Petrol,Individual,Manual,Fourth & Above Owner,maruti,19.7,5
5597,scorpio,2006,250000,120000,Diesel,Individual,Manual,Third Owner,mahindra,10.5,8
5598,accent,2005,100000,100000,Diesel,Individual,Manual,Third Owner,hyundai,13.1,5
5599,ertiga,2013,599000,60000,Diesel,Individual,Manual,Second Owner,maruti,20.77,7
5600,cruze,2010,250000,135000,Diesel,Individual,Manual,Third Owner,chevrolet,18.3,5
